,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
194,195,Dirty Grandpa,Lions Gate Entertainment,"Dan Mazer (director); Zac Efron, Robert De Niro, Aubrey Plaza, Zoey Deutch, Julianne Hough, Dermot Mulroney",80,Comedy,4114810.0,35593113.0,2016
195,196,The 5th Wave,Columbia Pictures / GK Films,"J Blakeson (director); Chloë Grace Moretz, Nick Robinson, Maria Bello, Maika Monroe, Liev Schreiber",82,Action,4036182.0,34912982.0,2016
196,197,The Boy,STXfilms,"William Brent Bell (director); Lauren Cohan, Rupert Evans",79,Horror,4140989.0,35819556.0,2016
197,198,Synchronicity,POPfilms / Soapbox Films,"Jacob Gentry (director); Brianne Davis, Chad McKnight, Scott Poythress",752,Thriller/Suspense,520.0,4505.0,2016
198,199,Kung Fu Panda 3,20th Century Fox / DreamWorks Animation,"Jennifer Yuh Nelson, Alessandro Carloni (directors); Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J. K. Simmons, Seth Rogen, Lucy Liu, David Cross, Kate Hudson, James Hong, Randall Duk Kim, Jackie Chan",20,Adventure,16592903.0,143528619.0,2016
199,200,The Finest Hours,Walt Disney Pictures,"Craig Gillespie (director); Chris Pine, Casey Affleck, Ben Foster, Eric Bana",95,Thriller/Suspense,3187232.0,27569558.0,2016
200,201,Fifty Shades of Black,Open Road Films,"Michael Tiddes (director); Marlon Wayans, Kali Hawk, Mike Epps",137,Comedy,1351091.0,11686940.0,2016
201,202,Jane Got a Gun,The Weinstein Company,"Gavin O'Connor (director); Natalie Portman, Joel Edgerton, Noah Emmerich, Ewan McGregor",240,Western,175004.0,1513793.0,2016
202,203,"Hail, Caesar!",Universal Pictures / Working Title Films,"Joel Coen, Ethan Coen (directors/screenplay); Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes, Jonah Hill, Scarlett Johansson, Frances McDormand, Tilda Swinton, Channing Tatum",89,Comedy,3477482.0,30080225.0,2016
203,204,The Choice,Lionsgate Films,"Ross Katz (director); Benjamin Walker, Teresa Palmer, Maggie Grace, Alexandra Daddario, Tom Welling, Tom Wilkinson",116,Drama,2165420.0,18730891.0,2016
204,205,Deadpool,20th Century Fox / Marvel Enterprises,"Tim Miller (director); Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Brianna Hildebrand",6,Action,41973492.0,363070709.0,2016
205,206,Zoolander 2,Paramount Pictures / Red Hour Films,"Ben Stiller (director); Ben Stiller, Owen Wilson, Will Ferrell, Penélope Cruz, Kristen Wiig, Fred Armisen",92,Comedy,3335109.0,28848693.0,2016
206,207,Risen,Columbia Pictures,"Kevin Reynolds (director); Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis",76,Drama,4263587.0,36880033.0,2016
207,208,The Witch,A24,"Robert Eggers (director/screenplay); Anya Taylor-Joy, Ralph Ineson, Kate Dickie",100,Horror,2906208.0,25138705.0,2016
208,209,Race,Entertainment One,"Stephen Hopkins (director); Stephan James, Jason Sudeikis, Jeremy Irons, Carice van Houten, William Hurt",114,Drama,2209848.0,19115191.0,2016
209,210,Gods of Egypt,Thunder Road Films / Summit Entertainment,"Alex Proyas (director); Nicolaj Coster-Waldau, Gerard Butler, Brenton Thwaites, Chadwick Boseman, Rufus Sewell, Geoffrey Rush",86,Adventure,3601556.0,31153464.0,2016
210,211,Triple 9,Open Road Films,"John Hillcoat (director); Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Gal Gadot, Woody Harrelson, Kate Winslet",134,Thriller/Suspense,1461190.0,12639297.0,2016
211,212,Eddie the Eagle,20th Century Fox / Lionsgate,"Dexter Fletcher (director); Taron Egerton, Hugh Jackman, Christopher Walken, Jim Broadbent",124,Drama,1825362.0,15789389.0,2016
