,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
248,249,Finding Dory,Walt Disney Pictures / Pixar,"Andrew Stanton (director); Ellen DeGeneres, Albert Brooks, Hayden Rolence, Ed O'Neill, Kaitlin Olson, Ty Burrell, Diane Keaton, Eugene Levy",1,Adventure,56219140.0,486295561.0,2016
249,250,Central Intelligence,Warner Bros. Pictures / Universal Pictures / RatPac Entertainment / Perfect World Pictures,"Rawson Marshall Thurber (director); Dwayne Johnson, Kevin Hart",22,Comedy,14733049.0,127440871.0,2016
250,251,Independence Day: Resurgence,20th Century Fox / TSG Entertainment / Centropolis Entertainment,"Roland Emmerich (director); Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",27,Action,11924194.0,103144286.0,2016
251,252,The Shallows,Columbia Pictures,Jaume Collet-Serra (director); Blake Lively,60,Drama,6372441.0,55121623.0,2016
252,253,Free State of Jones,STX Entertainment,"Gary Ross (director); Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",108,Drama,2405784.0,20810036.0,2016
253,254,The Neon Demon,Amazon Studios / Broad Green Pictures,"Nicolas Winding Refn (director/story); Elle Fanning, Karl Glusman, Jena Malone",244,Horror,154118.0,1333124.0,2016
254,255,The Legend of Tarzan,Warner Bros. Pictures / Village Roadshow Pictures / RatPac Entertainment,"David Yates (director); Alexander Skarsgård, Samuel L. Jackson, Margot Robbie, Djimon Hounsou, Jim Broadbent, Christoph Waltz",23,Adventure,14640816.0,126643061.0,2016
255,256,The BFG,Walt Disney Pictures / Amblin Entertainment,"Steven Spielberg (director); Melissa Mathison (screenplay); Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader",57,Adventure,6414308.0,55483770.0,2016
256,257,The Purge: Election Year,Blumhouse Productions / Universal Pictures,"James DeMonaco (director); Frank Grillo, Elizabeth Mitchell, Mykelti Williamson",37,Horror,9137854.0,79042440.0,2016
257,258,The Secret Life of Pets,Universal Pictures / Illumination Entertainment,"Chris Renaud, Yarrow Cheney (directors); Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Steve Coogan, Albert Brooks",4,Adventure,42587783.0,368384330.0,2016
258,259,Captain Fantastic,Electric City Entertainment ShivHans Pictures [1],"Viggo Mortensen, Frank Langella, Kathryn Hahn, Steve Zahn, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Erin Moriarty, Missi Pyle, Ann Dowd",164,Drama,679749.0,5879835.0,2016
259,260,The Infiltrator,Broad Green Pictures,"Brad Furman (director); Bryan Cranston, Diane Kruger, Benjamin Bratt, John Leguizamo, Amy Ryan",126,Thriller/Suspense,1784602.0,15436808.0,2016
260,261,Ghostbusters,Columbia Pictures / Village Roadshow Pictures / GhostCorps / Sony Pictures Releasing,"Paul Feig (director); Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth",21,Comedy,14838216.0,128350574.0,2016
261,262,Star Trek Beyond,Paramount Pictures / Skydance Media / Bad Robot Productions,"Justin Lin (director); Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Idris Elba",17,Adventure,18363969.0,158848340.0,2016
262,263,Batman: The Killing Joke,Fathom Events / Warner Bros. Pictures,"Sam Liu (director); Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, Brian George, JP Karliak",186,Action,436416.0,3775000.0,2016
263,264,Ice Age: Collision Course,20th Century Fox / Blue Sky Studios,"Mike Thurmeier, Galen T. Chu (directors); Ray Romano, John Leguizamo, Denis Leary, Josh Peck, Simon Pegg, Seann William Scott, Jennifer Lopez, Queen Latifah",48,Adventure,7406128.0,64063008.0,2016
264,265,Lights Out,Warner Bros. Pictures / New Line Cinema,David F. Sandberg (director); Teresa Palmer,44,Horror,7776744.0,67268835.0,2016
265,266,Nerve,Lionsgate,"Henry Joost, Ariel Schulman (directors); Emma Roberts, Dave Franco",73,Thriller/Suspense,4460534.0,38583626.0,2016
266,267,Jason Bourne,Universal Pictures / The Kennedy/Marshall Company,"Paul Greengrass (director); Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Julia Stiles, Riz Ahmed",16,Action,18750626.0,162192920.0,2016
267,268,Bad Moms,STX Entertainment,"Jon Lucas, Scott Moore (directors); Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Annie Mumolo, Jada Pinkett Smith, Christina Applegate",25,Comedy,13093329.0,113257297.0,2016
268,269,Suicide Squad,Warner Bros. Pictures / DC Entertainment / RatPac Entertainment / Atlas Entertainment,"David Ayer (director/screenplay); Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis",9,Action,37583821.0,325100054.0,2016
269,270,Nine Lives,EuropaCorp,"Barry Sonnenfeld (director); Kevin Spacey, Jennifer Garner, Robbie Amell, Cheryl Hines, Malina Weissman, Christopher Walken",113,Adventure,2277460.0,19700032.0,2016
270,271,Sausage Party,Columbia Pictures / Annapurna Pictures / Point Grey Pictures / Sony Pictures Releasing,"Conrad Vernon, Greg Tiernan (directors); Seth Rogen, Kristen Wiig, Michael Cera, James Franco, Bill Hader, Salma Hayek, Jonah Hill, Anders Holm, Nick Kroll, David Krumholtz, Danny McBride, Edward Norton, Craig Robinson, Paul Rudd",29,Comedy,11291370.0,97670358.0,2016
271,272,Florence Foster Jenkins,Pathé / 20th Century Fox,"Stephen Frears (director); Meryl Streep, Hugh Grant",96,Drama,3165753.0,27383770.0,2016
272,273,Ben-Hur,Paramount Pictures / Metro-Goldwyn-Mayer,"Timur Bekmambetov (director); Jack Huston, Toby Kebbell, Rodrigo Santoro, Morgan Freeman, Nazanin Boniadi",99,Adventure,3053234.0,26410477.0,2016
273,274,Kubo and the Two Strings,Focus Features / Laika,"Travis Knight (director); Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei, Cary-Hiroyuki Tagawa, Brenda Vaccaro, Rooney Mara, Matthew McConaughey",64,Adventure,5551802.0,48023088.0,2016
274,275,War Dogs,Warner Bros. Pictures,"Todd Phillips (director); Jonah Hill, Miles Teller, Ana de Armas, Bradley Cooper",69,Black Comedy,4975089.0,43034523.0,2016
275,276,Mechanic: Resurrection,Summit Premiere,"Dennis Gansel (director); Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh",107,Action,2452994.0,21218403.0,2016
276,277,Hands of Stone,The Weinstein Company,"Jonathan Jakubowicz (director); Édgar Ramírez, Robert De Niro, Usher",173,Drama,544831.0,4712792.0,2016
277,278,The Light Between Oceans,Walt Disney Studios Motion Pictures / Entertainment One,"Derek Cianfrance (director); Michael Fassbender, Alicia Vikander, Rachel Weisz",136,Drama,1450402.0,12545979.0,2016
278,279,Morgan,20th Century Fox,"Luke Scott (director); Kate Mara, Anya Taylor-Joy, Toby Jones, Rose Leslie, Boyd Holbrook, Michelle Yeoh, Jennifer Jason Leigh, Paul Giamatti",181,Thriller/Suspense,452630.0,3915251.0,2016
279,280,Skiptrace,Saban Films,"Renny Harlin (director); Jackie Chan, Johnny Knoxvile, Fan BingBing",787,Action,207.0,1792.0,2016
280,281,Sully,Warner Bros. Pictures / Village Roadshow Pictures / RatPac Entertainment / The Kennedy/Marshall Company,"Clint Eastwood (director); Tom Hanks, Aaron Eckhart, Laura Linney",24,Drama,14448131.0,124976335.0,2016
282,283,When the Bough Breaks,Screen Gems,"Jon Cassar (director); Morris Chestnut, Regina Hall, Jaz Sinclair",90,Thriller/Suspense,3439029.0,29747603.0,2016
283,284,The Disappointments Room,Rogue,"D. J. Caruso (director); Kate Beckinsale, Mel Raido, Gerald McRaney, Lucas Till",209,Horror,280169.0,2423467.0,2016
284,285,Snowden,Open Road Films,"Oliver Stone (director); Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo, Zachary Quinto, Tom Wilkinson, Scott Eastwood, Logan Marshall-Green, Timothy Olyphant, Ben Schnetzer, Lakeith Stanfield, Rhys Ifans, Nicolas Cage",106,Drama,2495666.0,21587519.0,2016
285,286,Blair Witch,Lionsgate Films,"Adam Wingard (director); James Allen McCune, Callie Hernandez, Brandon Scott, Corbin Reid, Valorie Curry",109,Horror,2401972.0,20777061.0,2016
286,287,Hillsong: Let Hope Rise,Pure Flix,"Michael John Warren (director); Joel Houston, Michael Guy Chislett",210,Documentary,276846.0,2394725.0,2016
287,288,The Magnificent Seven,Metro-Goldwyn-Mayer / Columbia Pictures / Village Roadshow Pictures / Sony Pictures Releasing,"Antoine Fuqua (director); Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Peter Sarsgaard, Haley Bennett",30,Western,10800029.0,93420253.0,2016
289,290,Storks,Warner Bros. Pictures / Warner Animation Group / RatPac-Dune Entertainment,"Nicholas Stoller, Doug Sweetland (directors); Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston, Ty Burrell, Keegan-Michael Key, Jordan Peele, Danny Trejo",42,Adventure,8371659.0,72414850.0,2016
291,292,Deepwater Horizon,Summit Entertainment,"Peter Berg (director); Mark Wahlberg, Kurt Russell, John Malkovich, Gina Rodriguez, Dylan O'Brien, Kate Hudson",52,Thriller/Suspense,7102141.0,61433527.0,2016
292,293,Masterminds,Relativity Media,"Jared Hess (director); Zach Galifianakis, Owen Wilson, Kristen Wiig, Kate McKinnon, Leslie Jones, Jason Sudeikis",120,Comedy,2006577.0,17356894.0,2016
293,294,The Girl on the Train,Universal Pictures,"Tate Taylor (director); Emily Blunt, Rebecca Ferguson, Haley Bennett, Justin Theroux, Luke Evans, Allison Janney, Édgar Ramírez, Lisa Kudrow",40,Thriller/Suspense,8716189.0,75395035.0,2016
294,295,The Birth of a Nation,Fox Searchlight Pictures,"Nate Parker (director); Nate Parker, Armie Hammer, Colman Domingo, Aja Naomi King, Jackie Earle Haley, Penelope Ann Miller, Gabrielle Union",123,Drama,1833707.0,15861566.0,2016
295,296,The Accountant,Warner Bros. Pictures / RatPac Entertainment,"Gavin O'Connor (director); Ben Affleck, Anna Kendrick, J. K. Simmons, Jon Bernthal, Jeffrey Tambor, John Lithgow",35,Thriller/Suspense,9925630.0,85856696.0,2016
297,298,Kevin Hart: What Now?,Universal Pictures,Leslie Small (director); Kevin Hart,104,Concert/Perfor…,2727288.0,23591043.0,2016
298,299,Max Steel,Open Road Films,"Stewart Hendler (director); Ben Winchell, Maria Bello, Ana Villafañe, Josh Brener, Andy García",185,Action,441464.0,3818664.0,2016
299,300,Jack Reacher: Never Go Back,Paramount Pictures / Skydance Media,"Edward Zwick (director); Tom Cruise, Cobie Smulders",54,Action,6771620.0,58574515.0,2016
301,302,Keeping Up with the Joneses,20th Century Fox,"Greg Mottola (director); Zach Galifianakis, Jon Hamm, Isla Fisher, Gal Gadot, Matt Walsh, Maribeth Monroe, Patton Oswalt, Kevin Dunn",127,Comedy,1723055.0,14904426.0,2016
302,303,Ouija: Origin of Evil,Blumhouse Productions / Universal Pictures,"Mike Flanagan (director); Elizabeth Reaser, Annalise Basso, Henry Thomas",81,Horror,4062948.0,35144505.0,2016
303,304,American Pastoral,Lionsgate Films,"Ewan McGregor (director); Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert, Rupert Evans, Uzo Aduba, Molly Parker, David Strathairn",303,Drama,62901.0,544098.0,2016
304,305,Inferno,Sony Pictures Releasing,"Ron Howard (director); Tom Hanks, Felicity Jones, Irrfan Khan, Omar Sy, Ben Foster, Sidse Babett Knudsen",84,Thriller/Suspense,3956260.0,34221651.0,2016
306,307,Doctor Strange,Marvel Studios / Walt Disney Studios Motion Pictures,"Scott Derrickson (director); Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Mads Mikkelsen, Tilda Swinton",10,Action,26602056.0,230107790.0,2016
308,309,Trolls,20th Century Fox / DreamWorks Animation,"Mike Mitchell (director), Anna Kendrick, Justin Timberlake, Zooey Deschanel, Russell Brand, James Corden, Gwen Stefani",19,Adventure,17356103.0,150130292.0,2016
310,311,Hacksaw Ridge,Lionsgate,"Mel Gibson (director); Robert Schenkkan, Andrew Knight (screenplay); Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, Hugo Weaving, Rachel Griffiths, Vince Vaughn",47,Drama,7468967.0,64606565.0,2016
312,313,Loving,Focus Features,"Jeff Nichols (director/screenplay); Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon",158,Drama,865041.0,7482608.0,2016
314,315,The Love Witch,Oscilloscope Laboratories,Anna Biller (director); Samantha Robinson,381,Comedy,18583.0,160747.0,2016
316,317,Arrival,Paramount Pictures,"Denis Villeneuve (director); Eric Heisserer (screenplay); Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Tzi Ma",31,Drama,10657998.0,92191690.0,2016
318,319,Almost Christmas,Universal Pictures / Perfect World Pictures / Will Packer Productions,"David E. Talbert (director/screenplay); Kimberly Elise, Danny Glover, John Michael Higgins, Romany Malco, Mo'Nique, Nicole Ari Parker, J.B. Smoove, Gabrielle Union",70,Drama,4855815.0,42002805.0,2016
320,321,Shut In,EuropaCorp,"Farren Blackburn (director); Christina Hodson (screenplay); Naomi Watts, Oliver Platt, Charlie Heaton, Jacob Tremblay, David Cubitt, Clémentine Poidatz",159,Thriller/Suspense,797437.0,6897838.0,2016
322,323,The Edge of Seventeen,STXfilms,"Kelly Fremon Craig (director/screenplay); Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson",130,Drama,1665524.0,14406786.0,2016
324,325,Bleed for This,Open Road Films,"Ben Younger (director/screenplay); Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds, Ted Levine",168,Drama,587734.0,5083906.0,2016
325,326,Moana,Walt Disney Pictures / Walt Disney Animation Studios,"Ron Clements, John Musker (directors); Jared Bush (screenplay); Auliʻi Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement, Nicole Scherzinger, Alan Tudyk",12,Musical,24282787.0,210046114.0,2016
328,329,Allied,Paramount Pictures,"Robert Zemeckis (director); Steven Knight (screenplay); Brad Pitt, Marion Cotillard, Jared Harris, Simon McBurney, Lizzy Caplan",72,Drama,4577912.0,39598941.0,2016
330,331,Bad Santa 2,Broad Green Pictures,"Mark Waters (director); Johnny Rosenthal, Shauna Cross (screenplay); Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, Brett Kelly, Ryan Hansen, Jenny Zigrino, Jeff Skowron, Mike Starr",119,Comedy,2049222.0,17725773.0,2016
332,333,La La Land,Lionsgate Films / Summit Entertainment,"Damien Chazelle (director/writer); Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt",83,Musical,3961689.0,34268613.0,2016
334,335,Rogue One: A Star Wars Story,Lucasfilm / Walt Disney Studios Motion Pictures,"Gareth Edwards (director); Felicity Jones, Diego Luna, Ben Mendelsohn, Donnie Yen, Mads Mikkelsen, Alan Tudyk, Jiang Wen, Forest Whitaker",2,Adventure,49131526.0,424987707.0,2016
336,337,The Founder,The Weinstein Company,"John Lee Hancock (director); Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, Patrick Wilson, B. J. Novak, Laura Dern",126,Drama,1425424.0,12786053.0,2016
337,338,Sing,Universal Pictures / Illumination Entertainment,"Garth Jennings (director/screenplay); Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly",15,Adventure,19248302.0,166497820.0,2016
339,340,Patriots Day,Lionsgate Films,"Peter Berg (director/screenplay); Mark Wahlberg, Kevin Bacon, John Goodman, J. K. Simmons, Michelle Monaghan",290,Thriller/Suspense,72692.0,628789.0,2016
341,342,A Monster Calls,Universal Pictures / Entertainment One,"J. A. Bayona (director); Patrick Ness (screenplay); Sigourney Weaver, Felicity Jones, Toby Kebbell, Lewis MacDougall, Liam Neeson",176,Drama,417037.0,3740823.0,2016
342,343,Paterson,Amazon Studios / Bleecker Street,"Jim Jarmusch (director/screenplay); Adam Driver, Golshifteh Farahani, Barry Shabaka Henley, Cliff Smith, Chasten Harmon, William Jackson Harper, Masatoshi Nagase",430,Comedy,11656.0,100825.0,2016
344,345,A Ghost Story,A24,"David Lowery (director/screenplay); Casey Affleck, Rooney Mara",227,Drama,177792.0,1594798.0,2017
345,346,Spider-Man: Homecoming,Columbia Pictures / Marvel Studios,"Jon Watts (director/screenplay); John Francis Daley, Jonathan M. Goldstein, Christopher Ford, Chris McKenna, Erik Sommers (screenplay); Tom Holland, Michael Keaton, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Marisa Tomei, Robert Downey Jr.",5,Action,37257652.0,334201140.0,2017
346,347,War for the Planet of the Apes,20th Century Fox / Chernin Entertainment / TSG Entertainment,"Matt Reeves (director/screenplay); Mark Bomback (screenplay); Andy Serkis, Gabriel Chavarria, Woody Harrelson, Judy Greer, Steve Zahn, Amiah Miller",22,Action,16374600.0,146880162.0,2017
347,348,Wish Upon,Broad Green Pictures / Orion Pictures,"John Leonetti (director); Barbara Marshall (screenplay); Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert, Shannon Purser, Sydney Park, Kevin Hanchard, Sherilyn Fenn",121,Horror,1594370.0,14301505.0,2017
348,349,Dunkirk,Warner Bros. Pictures / Syncopy Inc. / RatPac Entertainment,"Christopher Nolan (director/screenplay); Fionn Whitehead, Tom Glynn-Carney, Aneurin Barnard, Barry Keoghan, Tom Hardy, Cillian Murphy, Mark Rylance, Kenneth Branagh, Harry Styles, James D'Arcy, Jack Lowden, Kevin Guthrie",12,Action,21000352.0,188373161.0,2017
350,351,Girls Trip,Universal Studios / Perfect World Pictures / Will Packer Productions,"Malcolm D. Lee (director); Kenya Barris, Tracy Oliver (screenplay); Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish, Larenz Tate, Mike Colter, Kate Walsh",27,Comedy,12832610.0,115108515.0,2017
351,352,Atomic Blonde,Focus Features,"David Leitch (director); Kurt Johnstad (screenplay); Charlize Theron, James McAvoy, John Goodman, Til Schweiger, Sofia Boutella, Toby Jones, Eddie Marsan, Roland Møller",52,Thriller/Suspense,5749601.0,51573925.0,2017
352,353,The Emoji Movie,Columbia Pictures / Sony Pictures Animation,"Tony Leondis (director/screenplay); Eric Siegel, Mike White (screenplay); T. J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Sean Hayes, Sofia Vergara, Christina Aguilera, Patrick Stewart",38,Adventure,9597493.0,86089513.0,2017
353,354,Detroit,Annapurna Pictures,"Kathryn Bigelow (director); Mark Boal (screenplay); John Boyega, Will Poulter, Algee Smith, Jacob Latimore, Jason Mitchell, Hannah Murray, Kaitlyn Dever, Jack Reynor, Ben O'Toole, John Krasinski, Anthony Mackie",117,Drama,1871810.0,16790139.0,2017
354,355,Brigsby Bear,Sony Pictures Classics,"Dave McCary (director); Kyle Mooney, Kevin Costello (screenplay); Kyle Mooney, Mark Hamill, Claire Danes, Greg Kinnear, Andy Samberg, Matt Walsh, Michaela Watkins",293,Comedy,57498.0,515765.0,2017
355,356,Menashe,A24,"Joshua Z. Weinstein (director); Joshua Z. Weinstein, Alex Lipschultz, Musa Syeed (screenplay); Menashe Lustig, Ruben Nidorski, Yoel Weisshaus, Meyer Schwartz",221,Drama,189854.0,1702996.0,2017
356,357,The Dark Tower,Columbia Pictures / Media Rights Capital / Imagine Entertainment / Weed Road Pictures,"Nikolaj Arcel (director/screenplay); Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen (screenplay); Idris Elba, Matthew McConaughey, Tom Taylor, Fran Kranz, Abbey Lee, Katheryn Winnick, Jackie Earle Haley, Claudia Kim",54,Western,5652322.0,50701325.0,2017
357,358,Kidnap,Aviron Pictures,"Luis Prieto (director); Knate Lee (screenplay); Halle Berry, Sage Correa, Lew Temple, Chris McGinn",83,Thriller/Suspense,3424538.0,30718107.0,2017
358,359,Step,Fox Searchlight Pictures,"Amanda Lipitz (director); Blessin Giraldo, Cori Grainger, Tayla Solomon, Gari McIntyre, Paula Dofat",250,Documentary,127792.0,1146292.0,2017
359,360,Wind River,The Weinstein Company,"Taylor Sheridan (director/screenplay); Jeremy Renner, Elizabeth Olsen",76,Thriller/Suspense,3768212.0,33800859.0,2017
360,361,Annabelle: Creation,Warner Bros. Pictures / New Line Cinema / RatPac Entertainment / Atomic Monster Productions,"David F. Sandberg (director); Gary Dauberman (screenplay); Stephanie Sigman, Talitha Bateman, Anthony LaPaglia, Miranda Otto",32,Horror,11381516.0,102092201.0,2017
361,362,The Glass Castle,Lionsgate,"Destin Daniel Cretton (director/screenplay); Marti Noxon, Andrew Lanham (screenplay); Brie Larson, Naomi Watts, Max Greenfield, Woody Harrelson, Sarah Snook",114,Drama,1925647.0,17273059.0,2017
362,363,The Nut Job 2: Nutty by Nature,Open Road Films / ToonBox Entertainment,"Cal Brunker (director/screenplay); Bob Barlen, Scott Bindley (screenplay); Will Arnett, Katherine Heigl, Maya Rudolph, Sebastian Maniscalco, Kari Wahlgren, Bobby Moynihan, Isabela Moner, Bobby Cannavale, Gabriel Iglesias, Jeff Dunham, Peter Stormare",88,Adventure,3162822.0,28370522.0,2017
363,364,Good Time,A24,"Ben Safdie & Joshua Safdie (directors); Joshua Safdie, Ronald Bronstein (screenplay); Robert Pattinson, Jennifer Jason Leigh, Ben Safdie, Barkhad Abdi, Buddy Duress, Taliah Webster",212,Drama,225919.0,2026498.0,2017
364,365,Ingrid Goes West,Neon,"Matt Spicer (director/screenplay); David Branson Smith (screenplay); Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr., Wyatt Russell, Pom Klementieff, Billy Magnussen",187,Black Comedy,336804.0,3021133.0,2017
365,366,Logan Lucky,Bleecker Street / FilmNation Entertainment,"Steven Soderbergh (director); Rebecca Blunt (screenplay); Channing Tatum, Adam Driver, Riley Keough, Daniel Craig, Hilary Swank, Seth MacFarlane, Katie Holmes, Katherine Waterston, Sebastian Stan, Dwight Yoakam, Brian Gleeson, Jack Quaid",91,Comedy,3096838.0,27778642.0,2017
366,367,Patti Cake$,Fox Searchlight Pictures,"Geremy Jasper (director/screenplay); Danielle Macdonald, McCaul Lombardi",267,Comedy,89203.0,800148.0,2017
367,368,All Saints,Affirm Films / Provident Films,"Steve Gomer (director); Steve Armour (screenplay); John Corbett, Cara Buono",159,Drama,646846.0,5802208.0,2017
368,369,Beach Rats,Neon,"Eliza Hittman (director/screenplay); Harris Dickinson, Madeline Weinstein, Kate Hodge",302,Drama,52540.0,471286.0,2017
369,370,Tulip Fever,The Weinstein Company,"Justin Chadwick (director); Tom Stoppard (screenplay); Alicia Vikander, Dane DeHaan, Christoph Waltz, Holliday Grainger, Jack O'Connell, Zach Galifianakis, Judi Dench, Matthew Morrison, Kevin McKidd, Douglas Hodge, Joanna Scanlan, Tom Hollander, Cara Delevingne",199,Drama,273761.0,2455635.0,2017
370,371,It,Warner Bros. Pictures / New Line Cinema / RatPac Entertainment / Vertigo Entertainment / Lin Pictures,"Andy Muschietti (director); Chase Palmer, Cary Fukunaga, Gary Dauberman (screenplay); Jaeden Lieberher, Bill Skarsgård, Sophia Lillis, Jeremy Ray Taylor, Finn Wolfhard, Jack Dylan Grazer, Wyatt Oleff, Chosen Jacobs, Nicholas Hamilton, Jackson Robert Scott",6,Horror,36508556.0,327481748.0,2017
372,373,Home Again,Open Road Films,"Hallie Meyers-Shyer (director/screenplay); Reese Witherspoon, Candice Bergen, Michael Sheen, Lake Bell, Nat Wolff, Reid Scott, Pico Alexander",92,Romantic Comedy,3012294.0,27020284.0,2017
373,374,9/11,Atlas Distribution Company,"Martin Guigui (director/screenplay); Steven Golebiowski (screenplay); Charlie Sheen, Gina Gershon, Luis Guzmán,Whoopi Goldberg",370,Drama,19175.0,172000.0,2017
374,375,American Assassin,CBS Films,"Michael Cuesta (director); Stephen Schiff (screenplay); Dylan O'Brien, Michael Keaton, Sanaa Lathan, Shiva Negar, Taylor Kitsch",73,Thriller/Suspense,4041212.0,36249674.0,2017
375,376,Kingsman: The Golden Circle,20th Century Fox,"Matthew Vaughn (director/screenplay); Jane Goldman (screenplay); Colin Firth, Julianne Moore, Taron Egerton, Mark Strong, Halle Berry, Elton John, Channing Tatum, Jeff Bridges",35,Action,11173583.0,100227039.0,2017
377,378,The Lego Ninjago Movie,Warner Bros. Pictures / Warner Animation Group / RatPac-Dune Entertainment / Vertigo Entertainment / Lin Pictures / Lord Miller Productions,"Charlie Bean (director); Dan Hageman, Kevin Hageman, Kevin Chesley, Bryan Shukoff, Jared Stern (screenplay); Jackie Chan, Justin Theroux, Dave Franco, Olivia Munn, Michael Peña, Abbi Jacobson, Kumail Nanjiani, Zach Woods, Fred Armisen",47,Adventure,6608869.0,59281555.0,2017
378,379,Stronger,Lionsgate Films / Roadside Attractions / Bold Films,"David Gordon Green (director); John Pollono (screenplay); Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson, Clancy Brown",170,Drama,469468.0,4211129.0,2017
379,380,Battle of the Sexes,Fox Searchlight Pictures,"Jonathan Dayton and Valerie Faris (directors); Simon Beaufoy (screenplay); Emma Stone, Steve Carell, Andrea Riseborough, Elisabeth Shue, Austin Stowell, Sarah Silverman, Alan Cumming",128,Drama,1408977.0,12638526.0,2017
380,381,Woodshock,A24,"Kate and Laura Mulleavy (directors/screenplay); Kirsten Dunst, Joe Cole, Pilou Asbæk, Lorelei Linklater, Jack Kilmer",478,Drama,4734.0,42469.0,2017
381,382,Jeepers Creepers 3,American Zoetrope / Myriad Pictures,"Victor Salva (director/screenplay); Jonathan Breck, Meg Foster, Brandon James, Gabrielle Haugh, Jordan Salloum, Ryan Moore, Brandon Smith, Gina Philips, Christine Ko, Stan Shaw",207,Horror,249181.0,2235162.0,2017
382,383,American Made,Universal Pictures / Cross Creek Pictures / Imagine Entertainment,"Doug Liman (director); Gary Spinelli (screenplay); Tom Cruise, Domhnall Gleeson, Sarah Wright, Jayma Mays, Jesse Plemons, Alejandro Edda",53,Action,5723745.0,51342000.0,2017
383,384,Flatliners,Columbia Pictures / Cross Creek Pictures,"Niels Arden Oplev (director); Ben Ripley (screenplay); Ellen Page, Diego Luna, Nina Dobrev, James Norton, Kiersey Clemons, Kiefer Sutherland",116,Horror,1882176.0,16883115.0,2017
384,385,Blade Runner 2049,Warner Bros. Pictures / Columbia Pictures / Alcon Entertainment / Scott Free Productions,"Denis Villeneuve (director); Hampton Fancher, Michael Green (screenplay); Harrison Ford, Ryan Gosling, Ana de Armas, Mackenzie Davis, Sylvia Hoeks, Lennie James, Carla Juri, Robin Wright, Dave Bautista, Jared Leto",37,Thriller/Suspense,10217894.0,91654512.0,2017
386,387,The Mountain Between Us,20th Century Fox / Chernin Entertainment,"Hany Abu-Assad (director); Chris Weitz (screenplay); Idris Elba, Kate Winslet, Dermot Mulroney, Waleed Zuaiter",85,Adventure,3383339.0,30348555.0,2017
